Dst Port,Flow Duration,Flow Pkts/s,Tot Fwd Pkts,Fwd Header Len,Flow IAT Mean,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,CWE Flag Count,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Pkt Size Avg
5353,28346004.962921143,0.28222671979577524,8,64,4049429.280417306,4049429.280417306,7226571.759236987,0.0,0,0,0,0,0,0,0,0,75.0
5353,0.0,0,1,8,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,87.0
5353,25206889.152526855,0.8331055797059695,21,168,1260344.4576263428,1260344.4576263428,807121.1285513163,0.0,0,0,0,0,0,0,0,0,85.57142857142857
50239,14887839.794158936,0.8731958551233466,8,160,1240653.3161799114,2120246.137891497,5117949.587139699,3721835.732460022,0,1,0,0,0,0,0,0,108.0
54915,18998949.05090332,2.105379612989602,40,320,487152.5397667518,487152.5397667518,577115.341814013,0.0,0,0,0,0,0,0,0,0,305.0
5353,10648422.956466675,4.883352230897342,52,416,208792.60698954263,208792.60698954263,419795.99850271613,0.0,0,0,0,0,0,0,0,0,256.7307692307692
5353,1012262.8211975098,7.9030858710546905,8,64,144608.9744567871,144608.9744567871,352516.7114032859,0.0,0,0,0,0,0,0,0,0,71.0
5353,0.0,0,1,8,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,87.0
5353,0.0,0,1,8,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,87.0
5353,8156354.904174805,0.9808302966200287,8,64,1165193.5577392578,1165193.5577392578,185338.31321860157,0.0,0,0,0,0,0,0,0,0,81.0
